Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material, Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;TIPOLOGIAS
FE 10-1-2;x;x;13,5 x 7 cm;Cerâmica e vidrado Estampinha;Rua Conselheiro João Alfredo n° 289;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 11-1-1;x/Portugal;x;13,6 x 6,4 cm;Cerâmica e vidrado Estampinha;Travessa Gurupá n° 266;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 15-1-1;Lisboa/Portugal;Viúva Lamego;13 x 6,3 cm;Cerâmica e vidrado Estampinha;"Rua Senador Lemos n° 573; Rua Gaspar Viana 180/182; Travessa Leão XII n° 21; 
Rua 28 de Setembro n° 872";"Campina/Reduto/
Umarizal";Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE  15-1-2;Lisboa/Portugal;Viúva Lamego;13 x 6,3 cm;Cerâmica e vidrado Estampinha;"Rua Domingos Marreiros n° 279; Rua Padre Prudêncio n° 586; Rua Gama Abreu n° 1190 e 1202";"Campina/Umarizal/
Batista Campos";Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 17-2-1;Lisboa/Portugal;x;13,5 x 7,5 cm;Cerâmica e vidrado Estampinha;"Rua 13 de MAio n° 81/83/89 e 510/512/514; Avenida Castilhos França n° 722";Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 19-1-1;Lisboa/Portugal;x;13,5 x 6,5 cm;Cerâmica e vidrado Estampinha;"Rua Ó de Almeida n° 831; Rua dos Mundurucus n° 1387; Rua Senador Manoel Barata n° 993; Travessa Frei Gil de Vila Nova n° 993";Campina/Reduto/Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 19-1-2;Lisboa/Portugal;x;13,5 x 6,5 cm;Cerâmica e vidrado Estampinha;Rua Riachuelo n° 190;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 21-1-1;Lisboa/Portugal;x;13 x 6 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 329; Rua Santo Antônio n° 14/20; Travessa Gurupá n° 178; 
Rua Ó de Almeida n° 618 e 793; Rua Senador Manoel Barata n° 77; Travessa Piedade n° 342, 346 e s/n° e travessa Benjamin Constant n° 1035";"Cidade Velha/Campina/
Reduto/Nazaré";Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 22-1-1;Lisboa/Portugal;x;13,2 x 6,7 cm;Cerâmica e vidrado Estampinha;Rua Padre Prudêncio n° 514 e 518;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 23-1-1;Lisboa/Portugal;x;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 24-1-1;Lisboa/Portugal;x;13,2 x 6,7 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 482; Rua Padre Prudêncio n° 514 e 518; Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047; Rua Tiradentes n° 514; Avenida Governador José Malcher n° 453; Rua Aristides Lobo n° 145; Rua Marques de Pombal n° 44/46 e 48; Rua Cametá n° 50; Rua Gaspar Viana n° 96/98; Travessa Leão XII s/n°, 52 e 37/27; Rua Santo Antônio n° 135/155; Rua 13 de Maio n° 520 e 524; Praça Visconde do Rio Branco";"Cidade Velha/Campina/
Reduto/Nazaré";Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 25-1-1;Lisboa/Portugal;Apelido: Galão;13,4 x 6,3 cm;Cerâmica e vidrado Estampinha;"Avenida Senador Lemos n° 762; Rua Conselheiro João Alfredo n° 194/196; Rua Dr. Malcher n° 15/84 e 106; Travessa Benjamin Constant n° 506 e 512; Avenida Castilhos França n° 346; Rua 15 de Novembro n° 30/32/34/38";"Cidade Velha/Campina/
Reduto/Umarizal";Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 25-2-1;x;Apelido: Galão;13,1 x 4 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 337;
 Rua Dr. Malcher n° 85";"Cidade Velha/Campina/
Reduto";Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 25-3-1;x/Provavelmente Portugal;Apelido: Galão;x;Cerâmica e vidrado Estampinha;Rua 15 de Novembro n° 30/32/34/38;Campina;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 26-1-1;x;Apelido: Grega;15,2 x 4 cm;Cerâmica e vidrado Estampinha;Travessa Alenquer n° 146;Cidade Velha;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 29-1-1;x/Portugal;x;x;Cerâmica e vidrado Estampinha;Demolido antes de 1986;x;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 32-1-1;x;x;13,1 x 4 cm;Cerâmica e vidrado Estampinha;"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 168; Travessa Piedade n° 337";Cidade Velha/Campina/Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 33-1-1;x;x;13,1 x 4 cm;Cerâmica e vidrado Estampinha;Rua Ó de Almeida n° 755 e 757/759;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 33-2-2;x/Portugal;x;15 x 7,5 cm;Cerâmica e vidrado Estampinha;Travessa Presidente Pernambuco n° 204;Batista Campos;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
FE 34-1-1;x;x;13,1 x 4 cm;Cerâmica e vidrado Estampinha;Rua 28 de Setembro n° 528;Reduto;Revestimento de fachada, assentados por compressão contra argamassa fresca.;Guarnições: Cercaduras e Frisos
