Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material e Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;latitude;longitude
FE 10-1-2;;;"13;5 x 7 cm";Cerâmica e vidrado Estampinha;Rua Conselheiro João Alfredo nº 289- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4540567;-48,5031455
FE 11-1-1;x/Portugal;;"13;6 x 6;4 cm";Cerâmica e vidrado Estampinha;Travessa Gurupá nº 266- Belém - Pará - Brasil;Cidade Velha;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,459932;-48,5056653
FE  15-1-2;Lisboa/Portugal;Viúva Lamego;"13 x 6;3 cm";Cerâmica e vidrado Estampinha;Rua Domingos Marreiros nº 279- Belém - Pará - Brasil;Umarizal;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4443466;-48,4760222
FE 17-2-1;Lisboa/Portugal;;"13;5 x 7;5 cm";Cerâmica e vidrado Estampinha;Rua 13 de MAio nº 81- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4530688;-48,5007704
FE 17-2-1;Lisboa/Portugal;;"13;5 x 7;5 cm";Cerâmica e vidrado Estampinha;Rua 13 de MAio nº 83- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4530688;-48,5007704
FE 17-2-1;Lisboa/Portugal;;"13;5 x 7;5 cm";Cerâmica e vidrado Estampinha;Rua 13 de MAio nº 89- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4530688;-48,5007704
FE 17-2-1;Lisboa/Portugal;;"13;5 x 7;5 cm";Cerâmica e vidrado Estampinha;Rua 13 de MAio nº 512- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4530688;-48,5007704
FE 19-1-1;Lisboa/Portugal;;"13;5 x 6;5 cm";Cerâmica e vidrado Estampinha;Rua Ó de Almeida nº 831- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1386998;-48,448846
FE 19-1-2;Lisboa/Portugal;;"13;5 x 6;5 cm";Cerâmica e vidrado Estampinha;Rua Riachuelo nº 190- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4543075;-48,4978101
FE 21-1-1;Lisboa/Portugal;;13 x 6 cm;Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 329- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 24-1-1;Lisboa/Portugal;;"13;2 x 6;7 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 482- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 25-2-1;;Apelido: Galão;"13;1 x 4 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 175- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 25-2-1;;Apelido: Galão;"13;1 x 4 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 179- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 25-3-1;x/Provavelmente Portugal;Apelido: Galão;;Cerâmica e vidrado Estampinha;Rua 15 de Novembro nº 30- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1615771;-48,4688459
FE 25-3-1;x/Provavelmente Portugal;Apelido: Galão;;Cerâmica e vidrado Estampinha;Rua 15 de Novembro nº 32- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1615771;-48,4688459
