Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
FE 23-1-1,Lisboa,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 24-1-1,Lisboa,Portugal,13/2,06/7,Travessa Frutuoso Guimarães n° 482/ Rua Padre Prudêncio n° 514 e 518/ Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047/ Rua Tiradentes n° 514/ Avenida Governador José Malcher n° 453/ Rua Aristides Lobo n° 145/ Rua Marques de Pombal n° 44/46 e 48/ Rua Cametá n° 50/ Rua Gaspar Viana n° 96/98/ Travessa Leão II s/n°, 52 e 37/27/ Rua Santo Antônio n° 135/155/ Rua 13 de Maio n° 520 e 524/ Praça Visconde do Rio Branco,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 24-1-1,Lisboa,Portugal,13/2,06/7,Travessa Frutuoso Guimarães n° 482/ Rua Padre Prudêncio n° 514 e 518/ Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047/ Rua Tiradentes n° 514/ Avenida Governador José Malcher n° 453/ Rua Aristides Lobo n° 145/ Rua Marques de Pombal n° 44/46 e 48/ Rua Cametá n° 50/ Rua Gaspar Viana n° 96/98/ Travessa Leão II s/n°, 52 e 37/27/ Rua Santo Antônio n° 135/155/ Rua 13 de Maio n° 520 e 524/ Praça Visconde do Rio Branco,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 24-1-1,Lisboa,Portugal,13/2,06/7,Travessa Frutuoso Guimarães n° 482/ Rua Padre Prudêncio n° 514 e 518/ Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047/ Rua Tiradentes n° 514/ Avenida Governador José Malcher n° 453/ Rua Aristides Lobo n° 145/ Rua Marques de Pombal n° 44/46 e 48/ Rua Cametá n° 50/ Rua Gaspar Viana n° 96/98/ Travessa Leão II s/n°, 52 e 37/27/ Rua Santo Antônio n° 135/155/ Rua 13 de Maio n° 520 e 524/ Praça Visconde do Rio Branco,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 24-1-1,Lisboa,Portugal,13/2,06/7,Travessa Frutuoso Guimarães n° 482/ Rua Padre Prudêncio n° 514 e 518/ Travessa Benjamin Constant n° 1006, 1012, 1041 e 1047/ Rua Tiradentes n° 514/ Avenida Governador José Malcher n° 453/ Rua Aristides Lobo n° 145/ Rua Marques de Pombal n° 44/46 e 48/ Rua Cametá n° 50/ Rua Gaspar Viana n° 96/98/ Travessa Leão II s/n°, 52 e 37/27/ Rua Santo Antônio n° 135/155/ Rua 13 de Maio n° 520 e 524/ Praça Visconde do Rio Branco,Nazaré,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 25-1-1,Lisboa,Portugal,13/4,06/3,Avenida Senador Lemos n° 762/ Rua Conselheiro João Alfredo n° 194/196/ Rua Dr. Malcher n° 15/84 e 106/ Travessa Benjamin Constant n° 506 e 512/ Avenida Castilhos França n° 346/ Rua 15 de Novembro n° 30/32/34/38,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 25-1-1,Lisboa,Portugal,13/4,06/3,Avenida Senador Lemos n° 762/ Rua Conselheiro João Alfredo n° 194/196/ Rua Dr. Malcher n° 15/84 e 106/ Travessa Benjamin Constant n° 506 e 512/ Avenida Castilhos França n° 346/ Rua 15 de Novembro n° 30/32/34/38,Campinal,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 25-1-1,Lisboa,Portugal,13/4,06/3,Avenida Senador Lemos n° 762/ Rua Conselheiro João Alfredo n° 194/196/ Rua Dr. Malcher n° 15/84 e 106/ Travessa Benjamin Constant n° 506 e 512/ Avenida Castilhos França n° 346/ Rua 15 de Novembro n° 30/32/34/38,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 25-2-1,,,13/1,04/1,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191/ Travessa Alenquer n° 337/
 Rua Dr. Malcher n° 85",Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 25-2-1,,,13/1,04/1,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191/ Travessa Alenquer n° 337/
 Rua Dr. Malcher n° 85",Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
